,ID,NOM_TOPOGRAPHIE,NO_CIVIQUE,RUE,DESCRIPTION,SUPERFICIE,PERIMETRE,GEOMETRIE,LONGITUDE,LATITUDE
150,200934,Bassin de rétention du Daim,,Rue du Daim,Bassins de rétention,0,0,POINT (-71.30151865913051 46.882608345156314),46.882608345156314,-71.30151865913051
151,200899,Bassin de rétention du Domaine-de-la-Pente-Douce,,Rue du Colombage,Bassins de rétention,0,0,POINT (-71.42082749491053 46.840424050342655),46.840424050342655,-71.42082749491053
152,203005,Bassin de rétention du Faubourg-du-Cap,,Boulevard de la Chaudière,Bassins de rétention,0,0,POINT (-71.34743904874502 46.765581869511635),46.765581869511635,-71.34743904874502
153,202665,Bassin de rétention du Gabare,,Rue du Gabare,Bassins de rétention,0,0,POINT (-71.34456148998213 46.88087056324442),46.88087056324442,-71.34456148998213
154,200919,Bassin de rétention du Golf-Beauport,,Rue Marie-Louise-Marmette,Bassins de rétention,0,0,POINT (-71.21082372266538 46.86677561389692),46.86677561389692,-71.21082372266538
155,200917,Bassin de rétention du Harfang,,Rue du Harfang,Bassins de rétention,0,0,POINT (-71.2170134529164 46.873165702871574),46.873165702871574,-71.2170134529164
156,200921,Bassin de rétention du Loiret,,Boulevard du Loiret,Bassins de rétention,0,0,POINT (-71.2606022883925 46.877081472421665),46.877081472421665,-71.2606022883925
157,200937,Bassin de rétention du Marigot,,Rue du Marigot,Bassins de rétention,0,0,POINT (-71.30444087934974 46.881633620816906),46.881633620816906,-71.30444087934974
158,200845,Bassin de rétention du Mélézin,,Rue Blanche-Lamontagne,Bassins de rétention,0,0,POINT (-71.22394539559254 46.876391497683926),46.876391497683926,-71.22394539559254
159,202812,Bassin de rétention du Nordet,,Rue Louis-Cuisinier,Bassins de rétention,0,0,POINT (-71.36420420287799 46.78134452596476),46.78134452596476,-71.36420420287799
160,200561,Bassin de rétention du Panorama,,Rue du Panorama,Bassins de rétention,0,0,POINT (-71.21652798656693 46.90068830622548),46.90068830622548,-71.21652798656693
161,200840,Bassin de rétention du Parc-Technologique,,Boulevard du Parc-Technologique,Bassins de rétention,0,0,POINT (-71.30430896352706 46.79778638601409),46.79778638601409,-71.30430896352706
