Roll_No,Application_Year,Building_Permit_No,Develop__Permit__No,Date_Received,Status,Date_Of_Decision,Date_Permit_Expires,Date_Of_Occupancy_Permit,Lot,Block,Plan,Unit_No,Street_No,Street_Name,Building_Name,Business_Name,Description,No_Of_Existing_Dwelling_Units,No_Of_New_Dweling_Units,Value_of_Construction,Permit_Fee,SCC_Fee,Comments,Processing_Time
001316,2007,07BP50,,2007072,Approved,20070724,20080724,,6,R27,9610532,,267,Jasper Way,,,Residential,,,2000.0000000,100.0000000,4.0000000,Construction of Retaining Wall - Retaining Wall,July 19  July 24
000224,2007,07BP51,,2007073,,,,,24,10,6719BC,,302,Lynx St,,Petro-Canada,Commercial,,,30000.0000000,236.4000000,8.2700000,Garbage Enclosure building - Garbage Room,Aug 28/07 Sept04/07
000392,2007,07BP52,,2007073,Approved,20070814,20080814,,54,19,6719BC,,3,Rabbit St,,,Residential,,,38000.0000000,299.4400000,10.4800000,Interior/Exterior Renovation - Patios,Aug 07  Aug 14
000021,2007,07BP53,,20070821,Approved,20070904,20080904,,,2,6719BC,,302,Buffalo St,,,Commercial,,,7500.0000000,100.0000000,0.0000000,Interior Alteration,Aug 28/07 Sept 04/07
001448,2007,07BP54,,20070823,Approved,20070904,20080904,,28,R30,9911462,,316,Middle Springs Dr,,,Residential,,,300.0000000,100.0000000,4.0000000,Deck Extension - Deck-Extension,Aug 28/07 Sept04/07
000546,2007,07BP55,,2007083,Approved,20070904,20080904,,15-2,27,1677JK,,609,Caribou St,,,Residential,,,2000.0000000,100.0000000,4.0000000,Retaining Wall,Sept04/07 Sept04/07
000261,2007,07BP56,,20070917,,,,,10-12,13,6719BC,,"345, 347, 349",Banff Ave,,,Commercial,,,0.0000000,75.0000000,4.0000000,"Demolition of 3 houses - Also Roll #000262, 000263",
000546,2007,07BP57,,20070919,Approved,20070925,20080925,,15-2,27,1677,,609,Caribou St,,,Residential,,,1000.0000000,100.0000000,4.0000000,Load Bearing Retaining Wall - Repair Foundation,Sep 25/07 Sep 25/07
120901,2007,07BP58,,2007092,Approved,20070925,20080925,,Part Parcel B,,4472 JK,,107,Tunnel Mountain Dr,,,Commercial,,,10000.0000000,100.0000000,4.0000000,Converting Suite Space Into Office Space - Also Roll #120903 - Interior Alteration,Sep 25/07  Sep 25/07
000225,2007,07BP59,,20070925,Approved,20070925,20080925,,11 - 13,11,6719BC,,317,Banff Ave,,,Commercial,,,25000.0000000,197.0000000,0.0000000,Interior Alteration,Sep 25/07 Sept 25/07
