idx,facility_name,ISCED020,ISCED1,ISCED2,ISCED3,grade_range,address_str,city,postal_code,province,provider,address_str_clean,street_no,street_name
108,Preeceville School,1,1,1,1,Gr. K-12,BOX 679 PREECEVILLE sk S0A 3B0,PREECEVILLE,S0A 3B0,sk,Province of Saskatchewan,preeceville sk s0a 3b0,,
109,Saltcoats School,1,1,1,0,Gr. K-8,BOX 187 SALTCOATS sk S0A 3R0,SALTCOATS,S0A 3R0,sk,Province of Saskatchewan,saltcoats sk s0a 3r0,,
110,Silver Stream School,1,1,1,0,Gr. K-9,P O BOX 3640 MELVILLE sk S0A 2P0,MELVILLE,S0A 2P0,sk,Province of Saskatchewan,p o melville sk s0a 2p0,,
111,Springside School,1,1,1,0,Gr. K-8,BOX 100 SPRINGSIDE sk S0A 3V0,SPRINGSIDE,S0A 3V0,sk,Province of Saskatchewan,springside sk s0a 3v0,,
112,Sturgis Composite School,1,1,1,1,Gr. K-12,BOX 100 STURGIS sk S0A 4A0,STURGIS,S0A 4A0,sk,Province of Saskatchewan,sturgis sk s0a 4a0,,
113,Victoria School,1,1,0,0,Gr. K-4,BOX 609 KAMSACK sk S0A 1S0,KAMSACK,S0A 1S0,sk,Province of Saskatchewan,kamsack sk s0a 1s0,,
114,Yorkdale Central School,1,1,1,0,Gr. K-8,270 GLADSTONE AVE S YORKTON sk S3N 3C6,YORKTON,S3N 3C6,sk,Province of Saskatchewan,270 gladstone ave s yorkton sk s3n 3c6,270,gladstone ave s
115,Yorkton Regional High School,0,0,1,1,Gr. 9-12,150 GLADSTONE AVENUE N YORKTON sk S3N 2A8,YORKTON,S3N 2A8,sk,Province of Saskatchewan,150 gladstone avenue n yorkton sk s3n 2a8,150,gladstone avenue n
116,Home-based School,1,1,0,0,Gr. K-4,sk,,,sk,Province of Saskatchewan,sk,,
117,Sacred Heart Elementary/École Sacre Coeur,1,1,1,0,Gr. K-8,1846 GIBBS ROAD ESTEVAN sk S4A 1Y2,ESTEVAN,S4A 1Y2,sk,Province of Saskatchewan,1846 gibbs road estevan sk s4a 1y2,1846,gibbs road
118,St. Augustine School (Wilcox),1,1,1,0,Gr. K-8,PO BOX 10 WILCOX sk S0G 5E0,WILCOX,S0G 5E0,sk,Province of Saskatchewan,wilcox sk s0g 5e0,,
119,St. Mary's School,1,1,1,0,Gr. K-8,615 ARTHUR AVENUE ESTEVAN sk S4A 1S9,ESTEVAN,S4A 1S9,sk,Province of Saskatchewan,615 arthur avenue estevan sk s4a 1s9,615,arthur avenue
120,St. Michael School,1,1,1,0,Gr. K-9,426 13TH STREET NE WEYBURN sk S4H 1L3,WEYBURN,S4H 1L3,sk,Province of Saskatchewan,426 13th street ne weyburn sk s4h 1l3,426,13th street ne
121,St. Olivier School,1,1,0,0,Gr. K-6,325 BECKWELL AVE RADVILLE sk S0C 2G0,RADVILLE,S0C 2G0,sk,Province of Saskatchewan,325 beckwell ave radville sk s0c 2g0,325,beckwell ave
122,All Saints Catholic School,1,1,1,0,Gr. K-8,2180 WOODROW LLOYD PLACE SWIFT CURRENT sk S9H 5R2,SWIFT CURRENT,S9H 5R2,sk,Province of Saskatchewan,2180 woodrow lloyd place swift current sk s9h 5r2,2180,woodrow lloyd place
123,Christ the King School,1,1,1,0,Gr. K-7,BOX 1330 SHAUNAVON sk S0N 2M0,SHAUNAVON,S0N 2M0,sk,Province of Saskatchewan,shaunavon sk s0n 2m0,,
124,Home-based School,0,1,0,0,Gr. 2-2,sk,,,sk,Province of Saskatchewan,sk,,
125,Phoenix Academy,0,0,0,1,Gr. 10-12,461 ATHABASCA ST E MOOSE JAW sk S6H 0L9,MOOSE JAW,S6H 0L9,sk,Province of Saskatchewan,461 athabasca st e moose jaw sk s6h 0l9,461,athabasca st e
126,Sacred Heart School,1,1,1,0,Gr. K-8,1020 12TH AVENUE SW MOOSE JAW sk S6H 5X8,MOOSE JAW,S6H 5X8,sk,Province of Saskatchewan,1020 12th avenue sw moose jaw sk s6h 5x8,1020,12th avenue sw
127,St. Agnes School,1,1,1,0,Gr. K-8,330 OXFORD STREET W MOOSE JAW sk S6H 2P2,MOOSE JAW,S6H 2P2,sk,Province of Saskatchewan,330 oxford street w moose jaw sk s6h 2p2,330,oxford street w
128,St. Margaret School,1,1,1,0,Gr. K-8,495 5TH AVENUE NE MOOSE JAW sk S6H 0J9,MOOSE JAW,S6H 0J9,sk,Province of Saskatchewan,495 5th avenue ne moose jaw sk s6h 0j9,495,5th avenue ne
129,St. Mary School,1,1,1,0,Gr. K-8,720 5TH AVE SW MOOSE JAW sk S6H 5W3,MOOSE JAW,S6H 5W3,sk,Province of Saskatchewan,720 5th ave sw moose jaw sk s6h 5w3,720,5th ave sw
