Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,idx1,idx2,Name_1,Name_2,Name_DL,Name_CS,Addr_CS,Addr_LCS,Address_1,Address_2,StrNum_Match,StrName_DL,StrName_CS,PC_Match,Distance,ISCED020_Match,ISCED1_Match,ISCED2_Match,ISCED3_Match,ISCED4+_Match,Check_1,Check_2,manual,idx_keep,idx_name,reason,errors,hierarchy_keep
50,50,50,50,50,50,ac4d74cfe2a9f68fd906,187e266030d641cbd9ec,St Mary s Elementary School,St Mary s Elementary School,1.0,1.0,0.790183677,0.493150685,5207 42ND ST LLOYDMINSTER sk T9V 1M8,5207 42 Street Lloydminster AB T9V1M8,1,0.714285714,0.721687836,1,0.0,1,1,1,1,1,False,False,True,187e266030d641cbd9ec,idx2,correct prov,,187e266030d641cbd9ec
51,51,51,51,51,51,0f9dcdd6ca45c5178f4f,586fbd9fa0f3014ed6cb,St Joseph Elementary School,St Joseph s Elementary School,0.931034483,0.973728991,0.853341367,0.467532468,5706 27TH STREET LLOYDMINSTER sk T9V 2B8,5706 27 Street Lloydminster AB T9V2B8,1,0.714285714,0.721687836,1,0.0,1,1,1,1,1,False,False,True,586fbd9fa0f3014ed6cb,idx2,correct prov,,586fbd9fa0f3014ed6cb
52,52,52,52,52,52,b9bd20272187edb7e36f,fc0b366545de5b5c7a6e,Mother Teresa Early Childhood Education Center,Mother Teresa Early Childhood Education Centre,0.97826087,0.949546915,0.800055369,0.493150685,5216 44TH ST LLOYDMINSTER sk T9V 1R6,5216 44 Street Lloydminster AB T9V1R6,1,0.714285714,0.721687836,1,0.0,1,1,1,1,1,False,False,True,fc0b366545de5b5c7a6e,idx2,correct prov,,fc0b366545de5b5c7a6e
53,53,53,53,53,53,d0b9934700dc6073307a,4bd1bec11a03880469b4,Lloydminster Comprehensive High School,Lloydminster Comprehensive High School,1.0,1.0,0.795238443,0.493150685,5615 42ND ST LLOYDMINSTER sk T9V 0A2,5615 42 Street Lloydminster AB T9V0A2,1,0.714285714,0.721687836,1,0.0,1,1,1,1,1,False,False,True,4bd1bec11a03880469b4,idx2,correct prov,,4bd1bec11a03880469b4
54,54,54,54,54,54,63fbef77d9e27d882aa5,248e17fa1d0c5044761b,Holy Rosary High School,Holy Rosary High School,1.0,1.0,0.899387501,0.469135802,6611A 39TH STREET LLOYDMINSTER sk T9V 2Z4,6611A 39th Street Lloydminster AB T9V2Z4,1,1.0,1.0,1,0.0,1,1,1,1,1,False,True,True,248e17fa1d0c5044761b,idx2,correct prov,,248e17fa1d0c5044761b
55,55,55,55,55,55,113bb1f873e8c6523dd4,5eb6f92e4881283d65f7,College Park School,College Park School,1.0,1.0,0.880078233,0.52173913,2115 56 AVE LLOYDMINSTER sk T9V 2W2,2115 56 Ave Lloydminster AB T9V2W2,1,1.0,1.0,1,0.0,1,1,1,1,1,False,True,True,5eb6f92e4881283d65f7,idx2,correct prov,,5eb6f92e4881283d65f7
56,56,56,56,56,56,befaeb39b50781117c53,9eb5f3e578fcb450682b,Hay Lakes School,Hay Lakes School ECS,0.8,0.910299127,0.935483871,0.933333333,PO Box 249 Hay Lakes AB T0B1W0,PO Box 224 Hay Lakes AB T0B1W0,0,0.0,0.0,1,,0,0,0,0,1,False,False,False,,,different address,,NA
57,57,57,57,57,57,b1a2485d8d4af777a0ee,c5091ddbc301a06e2f9e,Burman University,Burman University,1.0,1.0,0.494974747,0.5,5415 College Avenue Lacombe AB T4L2E5,6730 University Drive Lacombe Alberta T4L2E5 Canada,0,0.153846154,0.0,1,0.280809896,0,0,0,0,0,False,False,False,,,different address,,NA
58,58,58,58,58,58,11c10be7b380b70e4b24,39def7bb28a749fc2297,St Gabriel Online School,St Gabriel Online Summer School,0.774193548,0.91019134,1.0,1.0,#103 4706 48 Avenue Red Deer AB T4N6J4,#103 4706 48 Avenue Red Deer AB T4N6J4,1,1.0,1.0,1,0.0,1,1,0,1,1,False,False,False,,,different ISCED,,NA
59,59,59,59,59,59,a53be0577925f3f0153e,f48f9c18462777e8728f,MC College Red Deer,Red Deer College,0.157894737,0.921954446,0.443129368,0.493150685,5008 Ross St Red Deer Alberta T4N1Y3 Canada,PO Box 5005 Red Deer AB T4N5H5,0,0.0,0.0,0,2.622182498,0,0,0,0,0,False,False,False,,,different address,,NA
60,60,60,60,60,60,b1d70768d32ce24a7698,b3f36579dac1bc952eb0,Ecole Secondaire Notre Dame High School,Ecole Secondaire Notre Dame Summer School,0.853658537,0.913346259,1.0,1.0,50 Lees Street Red Deer AB T4R2P6,50 Lees Street Red Deer AB T4R2P6,1,1.0,1.0,1,0.0,1,1,1,0,1,False,False,False,,,different ISCED,,NA
61,61,61,61,61,61,71f96c5f599e5b4f5100,0f2c1d04ffe09ef94c35,Academy of Learning Airdrie,Academy of Learning Airdrie,1.0,1.0,0.628063918,0.566666667,Main Campus #201 2002 Luxstone Blvd Airdrie Alberta T4B3K8 Canada,#203 28 Gateway Drive NE Airdrie Alberta T4B 0J6 Canada,0,0.0,0.142857143,0,3.503137978,1,1,1,1,1,False,False,False,,,different address,,NA
62,62,62,62,62,62,4000b2efe7b545a2fcaf,eede148481e8f41e715c,Wildwood School,Wildwood School,1.0,1.0,0.174371458,0.222222222,120 45 Street SW Calgary AB T3C2B3,PO Box 210 Wildwood AB T0E2M0,0,0.0,0.0,0,0.050380204,1,1,1,1,1,False,False,False,,,different address,,NA
63,63,63,63,63,63,102a1bbe765f5a8b7588,e6a1fccbdb33b12a7e0c,Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,1.0,1.0,0.768170689,0.775,1301 16 Avenue NW Calgary AB T2M0L4,1301 16 Ave NW Calgary Alberta T2M 0L4 Canada,1,1.0,1.0,1,2.62e-06,0,0,0,0,0,False,False,False,,,different ISCED,,NA
64,64,64,64,64,64,bbdf0d8b70ef28cb0f2a,2a15bcfeb28b07fd621a,Rundle College Junior High School,Rundle College Senior High School,0.939393939,0.928571429,1.0,1.0,7375 17 Avenue SW Calgary AB T3H3W5,7375 17 Avenue SW Calgary AB T3H3W5,1,1.0,1.0,1,0.0,1,1,0,0,1,False,False,False,,,different names,,NA
65,65,65,65,65,65,b3ae6aed21378ea427a5,cc9f4b64e9cbd463a0e2,Robertson College Calgary,Robertson College Calgary SE,0.892857143,0.954029958,0.612372436,0.527272727,Suite 100 2912 Memorial Drive SE Calgary Alberta T2A 6R1 Canada,5907 3 Street SE Calgary Alberta T2H 0P3 Canada,0,0.285714286,0.326598632,0,7.205232932,1,1,1,1,1,False,False,False,,,different address,,NA
66,66,66,66,66,66,b90efc5e5bbd488b7344,579d506381edfba624c9,River Valley School,River Valley School ECS,0.826086957,0.912870929,1.0,1.0,3127 Bowwood Drive NW Calgary AB T3B2E7,3127 Bowwood Drive NW Calgary AB T3B2E7,1,1.0,1.0,1,0.0,0,0,1,1,1,False,False,False,,,different ISCED,,NA
67,67,67,67,67,67,eb749f95add65af3fc9d,9b8e67523f6475c44e95,Queen Elizabeth High School,Queen Elizabeth School,0.814814815,0.913664385,0.914285714,0.941176471,512 18 Street NW Calgary AB T2N2G5,402 18 Street NW Calgary AB T2N2G5,0,1.0,1.0,1,,0,0,0,0,1,False,False,False,,,different address,,NA
