Municipality,Building Use,Activity,Value of Permits,Number of Permits,Extract Date
TOWN OF LOCKEPORT,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF LOCKEPORT,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF LOCKEPORT,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF LOCKEPORT,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF LUNENBURG,Commercial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF LUNENBURG,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF LUNENBURG,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF LUNENBURG,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF LUNENBURG,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF LUNENBURG,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF MAHONE BAY,Commercial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF MAHONE BAY,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF MAHONE BAY,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF MAHONE BAY,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF MAHONE BAY,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF MAHONE BAY,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF MIDDLETON,Commercial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF MIDDLETON,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF MIDDLETON,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF MIDDLETON,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
