idx,facility_name,source_id,authority_type,grade_range,facility_type,address_str,street_addr,city,province,postal_code,provider,address_str_clean,street_no,street_name
490,Credo Christian Schools,3596289,Independent School,K-12,Standard School,21846 52 Ave Langley BC V2Y 2M7,21846 52 Ave,Langley,BC,V2Y 2M7,Province of British Columbia,21846 52 ave langley bc v2y 2m7,21846,52 ave
491,Creekside Elementary,3636112,Public School,K-7,Standard School,13838 91 Ave Surrey BC V3V 7K4,13838 91 Ave,Surrey,BC,V3V 7K4,Province of British Columbia,13838 91 ave surrey bc v3v 7k4,13838,91 ave
492,Crescent Park Elementary,3636031,Public School,K-7,Standard School,2440 128 St Surrey BC V4A 3W3,2440 128 St,Surrey,BC,V4A 3W3,Province of British Columbia,2440 128 st surrey bc v4a 3w3,2440,128 st
493,Crescent Park Elementary,5959003,Public School,K-7,Standard School,9300 17 St Dawson Creek BC V1G 4A6,9300 17 St,Dawson Creek,BC,V1G 4A6,Province of British Columbia,9300 17 st dawson creek bc v1g 4a6,9300,17 st
494,Crofton Elementary Community School,7965006,Public School,K-6,Standard School,PO Box 80 Crofton BC V0R 1R0,PO Box 80,Crofton,BC,V0R 1R0,Province of British Columbia,crofton bc v0r 1r0,,
495,Crofton House,3996004,Independent School,K-12,Standard School,3200 West 41st Avenue Vancouver BC V6N 3E1,3200 West 41st Avenue,Vancouver,BC,V6N 3E1,Province of British Columbia,3200 west 41st avenue vancouver bc v6n 3e1,3200,west 41st avenue
496,Crossroads Alternate School,2299083,Public School,12-Oct,Alternate Programs,PO Box 1028 Lumby BC V0E 2G0,PO Box 1028,Lumby,BC,V0E 2G0,Province of British Columbia,lumby bc v0e 2g0,,
497,Crosstown Elementary,3939142,Public School,K-7,Standard School,55 Expo Blvd Vancouver BC V6B 0P8,55 Expo Blvd,Vancouver,BC,V6B 0P8,Province of British Columbia,55 expo blvd vancouver bc v6b 0p8,55,expo blvd
498,Crystal View Elementary,6262036,Public School,K-5,Standard School,2662 Silverstone Way Victoria BC V9B 6A6,2662 Silverstone Way,Victoria,BC,V9B 6A6,Province of British Columbia,2662 silverstone way victoria bc v9b 6a6,2662,silverstone way
499,Cultus Lake Community School,3333009,Public School,K-5,Standard School,71 Sunnyside Blvd Cultus Lake BC V2R 5B5,71 Sunnyside Blvd,Cultus Lake,BC,V2R 5B5,Province of British Columbia,71 sunnyside blvd cultus lake bc v2r 5b5,71,sunnyside blvd
500,Cumberland Community School,7171053,Public School,K-9,Standard School,PO Box 430 Cumberland BC V0R 1S0,PO Box 430,Cumberland,BC,V0R 1S0,Province of British Columbia,cumberland bc v0r 1s0,,
501,Cumberland StrongStart Centre,7125299,StrongStart BC,Pre-K,Early Learning Program,PO Box 300 Cumberland BC V0R 1S0,PO Box 300,Cumberland,BC,V0R 1S0,Province of British Columbia,cumberland bc v0r 1s0,,
502,Cypress Park Primary,4545035,Public School,K-3,Standard School,4355 Marine Dr West Vancouver BC V7V 1P2,4355 Marine Dr,West Vancouver,BC,V7V 1P2,Province of British Columbia,4355 marine dr west vancouver bc v7v 1p2,4355,marine dr
503,c`usqunela StrongStart Centre,4225136,StrongStart BC,Pre-K,Early Learning Program,24093 104 Ave Maple Ridge BC V2W 1J2,24093 104 Ave,Maple Ridge,BC,V2W 1J2,Province of British Columbia,24093 104 ave maple ridge bc v2w 1j2,24093,104 ave
504,D P Todd Secondary,5757100,Public School,12-Aug,Standard School,4444 Hill Ave Prince George BC V2M 5V9,4444 Hill Ave,Prince George,BC,V2M 5V9,Province of British Columbia,4444 hill ave prince george bc v2m 5v9,4444,hill ave
505,D W Poppy Secondary,3535034,Public School,12-Aug,Standard School,23752 52 Ave Langley BC V2Z 2P3,23752 52 Ave,Langley,BC,V2Z 2P3,Province of British Columbia,23752 52 ave langley bc v2z 2p3,23752,52 ave
506,Dallas Elementary,7324023,Public School,K-7,Standard School,296 Harper Rd Kamloops BC V2C 4Z2,296 Harper Rd,Kamloops,BC,V2C 4Z2,Province of British Columbia,296 harper rd kamloops bc v2c 4z2,296,harper rd
507,Daniel Woodward Elementary,3838029,Public School,K-7,Standard School,10300 Seacote Rd Richmond BC V7A 4B2,10300 Seacote Rd,Richmond,BC,V7A 4B2,Province of British Columbia,10300 seacote rd richmond bc v7a 4b2,10300,seacote rd
508,Daniel Woodward StrongStart Centre,3825120,StrongStart BC,Pre-K,Early Learning Program,10300 Seacote Rd Richmond BC V7A 4B2,10300 Seacote Rd,Richmond,BC,V7A 4B2,Province of British Columbia,10300 seacote rd richmond bc v7a 4b2,10300,seacote rd
509,Danskin Mennonite School,9196532,Independent School,10-Jan,Standard School,47932 Olson Rd Burns Lake BC V0J 1E4,47932 Olson Rd,Burns Lake,BC,V0J 1E4,Province of British Columbia,47932 olson rd burns lake bc v0j 1e4,47932,olson rd
