OBJECTID;DT_MAJ_GDUNO;CD_IMM;CD_CS;NUM_IMM_CS;NOM_OFFCL;ADRS_GEO_L1_GDUNO;ADRS_GEO_L2_GDUNO;CD_MUNCP;NOM_MUNCP;STAT_MUNCP;CD_POSTL_GDUNO;PRESC;PRIM;SEC;FORM_PRO;ADULTE;STAT_PROP_IMM;COORD_X_LL84;COORD_Y_LL84;ORDRE_ENS;TYPE_CS;STYLE_CART
503;20201019;821053;821000;053;Aubert-De Gaspé;43, rue Principale Ouest;;17055;Saint-Aubert;M;G0R2R0;1;1;0;0;0;Propriété de la CS;-70.221278;47.180108;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
504;20201019;735035;735000;035;Louis-Jobin, secondaire;400, boulevard Cloutier;;34128;Saint-Raymond;V;G3L3M8;0;0;1;0;0;Propriété de la CS;-71.81942;46.893715;Secondaire;Franco;3_Imm_Franco_secondaire
505;20201019;735036;735000;036;Donnacona, secondaire de;320, rue de l'Église;;34025;Donnacona;V;G3M2A1;0;0;1;1;1;Propriété de la CS;-71.727139;46.678978;Secondaire - Formation professionnelle - Éducation aux adultes;Franco;3_Imm_Franco_secondaire
506;20201019;735037;735000;037;Saint-Marc, secondaire de;1600, boulevard Dussault;;34065;Saint-Marc-des-Carrières;V;G0A4B0;1;1;1;0;0;Propriété de la CS;-72.061327;46.687546;Préscolaire - Primaire - Secondaire;Franco;2_Imm_Franco_prim_sec
507;20201019;735001;735000;001;Saumonière, pavillon Saint-Laurent, de la;250, avenue Côté;;34025;Donnacona;V;G3M2V7;1;1;0;0;0;Propriété de la CS;-71.739163;46.674926;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
508;20201019;735002;735000;002;Saumonière, pavillon Jacques-Cartier, de la;451, rue Jacques-Cartier;;34025;Donnacona;V;G3M2C1;1;1;0;0;0;Propriété de la CS;-71.741065;46.676381;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
509;20201019;735005;735000;005;Courval;758, Route 138;;34007;Neuville;V;G0A2R0;0;1;0;0;0;Propriété de la CS;-71.586367;46.696907;Primaire;Franco;1_Imm_Franco_primaire
510;20201019;881009;881000;009;Portneuf;35, rue Richard;;34030;Cap-Santé;V;G0A1L0;1;1;0;0;0;Propriété de la CS;-71.756791;46.674738;Préscolaire - Primaire;Anglo;1_Imm_Anglo_primaire
511;20201019;735008;735000;008;Bon-Pasteur, du;15, rue Marie Fitzbach;;34030;Cap-Santé;V;G0A1L0;1;1;0;0;0;Propriété de la CS;-71.784974;46.670457;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
512;20201019;735009;735000;009;Trois Sources, des;10, place de l'Église;;34038;Saint-Basile;V;G0A3G0;1;1;0;0;0;Propriété de la CS;-71.822148;46.757076;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
513;20201019;735012;735000;012;Riveraine, de la;105, rue Des Écoliers;;34048;Portneuf;V;G0A2Y0;0;1;0;0;0;Propriété de la CS;-71.886984;46.695651;Primaire;Franco;1_Imm_Franco_primaire
514;20201019;735039;735000;039;Sentiers, des;186, avenue Saint-Germain;;34048;Portneuf;V;G0A2Y0;1;1;0;0;0;Propriété de la CS;-71.886674;46.711453;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
515;20201019;735015;735000;015;Phare, du;248, chemin du Roi;;34058;Deschambault-Grondines;M;G0A1S0;1;1;0;0;0;Propriété de la CS;-71.93105;46.649336;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
444;20201019;734106;734000;106;Freinet de Québec (Loutres);7240, rue des Loutres;;23027;Québec;V;G1G1B1;1;1;0;0;0;Propriété de la CS;-71.291586;46.888407;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
445;20201019;713001;713000;001;Litalien;286, rue Langlais;;11040;Trois-Pistoles;V;G0L4K0;0;1;1;0;0;Propriété de la CS;-69.172684;48.12538;Primaire - Secondaire;Franco;2_Imm_Franco_prim_sec
446;20201019;714060;714000;060;Saint-Louis (Saint-Joseph);298-B, rue Principale Est;;14030;Saint-Joseph-de-Kamouraska;P;G0L3P0;1;1;0;0;1;Propriété de la CS;-69.642077;47.611274;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
447;20201019;714061;714000;061;Hudon-Ferland;480, rue de l'École;;14035;Saint-Alexandre-de-Kamouraska;M;G0L2G0;1;1;0;0;1;Propriété de la CS;-69.621221;47.68289;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
448;20201019;714065;714000;065;Envol, l';20, rue De Gaspé;;12072;Rivière-du-Loup;V;G5R1A9;0;0;0;1;1;Propriété de la CS;-69.537974;47.843389;Formation professionnelle - Éducation aux adultes;Franco;4_Imm_Franco_Fp_Adulte
449;20201019;714067;714000;067;Roy;55, rue Du Rocher;;12072;Rivière-du-Loup;V;G5R1J8;1;1;0;0;1;Propriété de la CS;-69.535259;47.837893;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
