idx,facility_name,facility_type,longitude,latitude,street_addr,provider
220,Bibliothèque Manise-Morin,Bibliothèque,45.543919,-75.415683,36 Chemin de Montréal Est,Gatineau
221,Ateliers municipaux Saint-Albert,Atelier et garage municipaux,45.547445,-75.413649,1 Rue Saint-Albert,Gatineau
222,Entrepôt Cousineau,Édifice municipal,45.438291,-75.730107,5 Rue Émile-Bond,Gatineau
223,Entrepôt Vanier,Édifice municipal,45.40088,-75.807434,625 Chemin d'Aylmer,Gatineau
224,Centre communautaire Bisson,Centre communautaire,45.455421,-75.755549,36(A) Rue Thérien,Gatineau
225,Centre communautaire Desjardins,Centre communautaire,45.443342,-75.715581,1 Rue Goyette,Gatineau
226,Centre de formation générale adulte La Cité,Centre de formation,45.54577,-75.416502,50 Rue des Servantes,Gatineau
227,Centre Asticou,Centre de formation,45.452552,-75.765023,241 Boulevard de la Cité-des-Jeunes,Gatineau
228,Centre Nouvel-Horizon,Centre de formation,45.4612,-75.696139,100 Rue de la Baie,Gatineau
229,Port de Plaisance d'Aylmer,Marina,45.395133,-75.858171,1 Rue Principale,Gatineau
230,Port de Plaisance Kitchissipi,Marina,45.476727,-75.639857,5 Rue Sanscartier,Gatineau
231,Chalet Lakeview,Centre communautaire,45.391723,-75.799958,39 Promenade Crescent,Gatineau
232,Galerie Montcalm,Galerie d'art,45.427559,-75.710995,25 Rue Laurier,Gatineau
233,Résidence Du Portage,Résidence pour personnes âgées,45.437578,-75.709356,310 Rue de Notre-Dame-de-l'Île,Gatineau
234,Les Habitations Sanscartiers,Résidence pour personnes âgées,45.47997,-75.642702,94 Rue Saint-Denis,Gatineau
235,Résidence Manoir Gatineau,Résidence pour personnes âgées,45.44548,-75.74989,100 Boulevard de la Cité-des-Jeunes,Gatineau
236,Résidence et Château de l'Ile,Résidence pour personnes âgées,45.433568,-75.722429,223 Rue Saint-Rédempteur,Gatineau
237,Résidence Villa des Brises,Résidence pour personnes âgées,45.429348,-75.716911,79 Rue Frontenac,Gatineau
238,Logements Jean-Marie Séguin,Résidence pour personnes âgées,45.4364,-75.719242,40 Boulevard Sacré-Coeur,Gatineau
239,Maison Mgr. Paul-Émile Charbonneau,Résidence pour personnes âgées,45.435968,-75.719095,50 Boulevard Sacré-Coeur,Gatineau
