idx1,idx2,Name_1,Name_2,Name_DL,Name_CS,Addr_CS,Addr_LCS,Address_1,Address_2,StrNum_Match,StrName_DL,StrName_CS,PC_Match,Distance,ISCED020_Match,ISCED1_Match,ISCED2_Match,ISCED3_Match,ISCED4+_Match
16583,16140,CollAge Mont Saint Louis,CollAge Saint Louis,0.7916666666666666,0.9135002783911397,0.36329950727537735,0.3235294117647059,1700 boul henri bourassa e montrAal h2c1j3,275 36e av montrAal h8t2a4,0,0.1428571428571429,0.07142857142857142,0,15.024599190704793,1,1,1,1,1
17098,16610,CollAge Jean de BrAbeuf,CollAge Jean de BrAbeuf,1.0,1.0000000000000002,0.930472293260036,0.9032258064516129,3200 ch de la cAte sainte catherine montrAal h3t1c1,3200 ch cAte ste catherine montrAal h3t1c1,1,0.7,0.9005359028271452,1,0.0,1,1,0,0,0
17076,17074,CollAge Herzing (secteur anglophone),CollAge Herzing (secteur anglophone),1.0,1.0,0.5430209893473685,0.4935064935064935,1616 boul renA lAvesque o montrAal h3h1p8,8370 boul lacordaire montrAal h1r3y6,0,0.30000000000000004,0.49099025303098287,0,10.404332806128279,1,1,1,1,1
17029,17027,CollAge Canada inc ,CollAge Canada inc ,1.0,1.0,0.8365019125713041,0.813953488372093,1231 rue sainte catherine o montrAal h3g1p5,1118 rue sainte catherine o montrAal h3b1h5,0,1.0,1.0000000000000002,0,0.19459254887019894,1,1,1,1,1
17028,17049,CollAge Canada (secteur anglophone),CollAge M du Canada (secteur anglophone),0.875,0.9428090415820634,0.2629368792488718,0.30952380952380953,1118 rue sainte catherine o 4e Atage montrAal h3b1h5,8550 boul newman montrAal h8n1y5,0,0.2272727272727273,0.05184758473652128,0,8.893936581695353,1,1,1,1,1
17028,17030,CollAge Canada (secteur anglophone),CollAge Canada inc (secteur anglophone),0.8974358974358975,0.9534625892455924,0.801376273873509,0.7368421052631579,1118 rue sainte catherine o 4e Atage montrAal h3b1h5,1231 rue sainte catherine o montrAal h3g1p5,0,1.0,1.0000000000000002,0,0.19459254887019894,1,1,1,1,1
17071,17003,CollAge CDI Administration Technologie SantA,CollAge CDI Administration Technologie SantA Saint LAonard,0.7586206896551724,0.9095873358104588,0.49820189502362205,0.4935064935064935,416 boul de maisonneuve o montrAal h3a1l2,9480 boul lacordaire montrAal h1r0c4,0,0.38095238095238093,0.4082482904638631,0,11.079638590714177,1,1,1,1,1
18901,17096,College de Photographie Marsan,CollAge de photographie Marsan inc ,0.8,0.9035146374351831,0.5701573160798387,0.5054945054945055,3536 st laurent blvd montreal quebec canada 525 3030,3536 boul saint laurent montrAal h2x2v1,0,0.1333333333333333,0.10540925533894598,0,0.03283645593623803,1,1,1,1,1
14739,14731,Coeur ImmaculA de Marie,Coeur ImmaculA de Marie annexe,0.7666666666666666,0.9078412990032035,0.42761798705987897,0.4788732394366197,1845 boul desmarchais montrAal h4e2b7,1825 rue jolicoeur montrAal h4e1x3,0,0.1875,0.0,0,0.1535711642130994,1,1,1,1,1
16571,16572,Centre FranAois Michelle secondaire 1er cycle,Centre FranAois Michelle secondaire 2e cycle,0.9555555555555556,0.9494253265550826,0.4620308277252731,0.5396825396825397,5210 rue durocher montrAal h2v3y1,9275 rue clark montrAal h2n2k3,0,0.41666666666666663,0.3508232077228117,0,4.863039231139842,1,1,1,1,1
15507,15147,Cardinal LAger,Cardinal LAger,1.0,0.9999999999999999,0.3888888888888889,0.4117647058823529,6951 av des ormeaux montrAal h1k2x7,2000 rue decelles montrAal h4m1b3,0,0.2142857142857143,0.2864459496157732,0,15.916287629885293,1,1,1,1,1
18888,17051,Campus DaEffets Visuels Inc ,Campus d effets visuels Inc ,0.8571428571428572,0.9411764705882353,0.6159924028072145,0.64,226 av papineau #105 montreal quebec canada,2261 av papineau montrAal h2k4j5,0,1.0,1.0000000000000002,0,6.612052045664442,1,1,1,1,1
15720,15967,Antoine de Saint ExupAry,Antoine de Saint ExupAry annexe,0.7741935483870968,0.9398009398014098,0.39597275801134096,0.42857142857142855,5150 boul robert montrAal h1r1p9,8455 rue du prA laurin montrAal h1r3p3,0,0.17647058823529416,0.06804138174397717,0,0.1770304563455279,1,1,1,1,1
16559,16560,AcadAmie Solomon Schechter campus prAscolaire section anglaise,AcadAmie Solomon Schechter campus prAscolaire section franAaise,0.9365079365079365,0.9543270160679705,0.9999999999999998,1.0,4950 av macdonald montrAal h3x2v3,4950 av macdonald montrAal h3x2v3,1,1.0,1.0000000000000002,1,7.796623319763268e-05,1,1,1,1,1
16558,16560,AcadAmie Solomon Schechter campus primaire section franAaise,AcadAmie Solomon Schechter campus prAscolaire section franAaise,0.9206349206349207,0.9529760045804525,0.3499394620768628,0.36363636363636365,5555 ch de la cAte saint luc montrAal h3x2c9,4950 av macdonald montrAal h3x2v3,0,0.07692307692307687,0.0,0,0.13791910507831243,0,0,1,1,1
16558,16559,AcadAmie Solomon Schechter campus primaire section franAaise,AcadAmie Solomon Schechter campus prAscolaire section anglaise,0.8548387096774194,0.9055372604758403,0.3499394620768628,0.36363636363636365,5555 ch de la cAte saint luc montrAal h3x2c9,4950 av macdonald montrAal h3x2v3,0,0.07692307692307687,0.0,0,0.13799469479928375,0,0,1,1,1
16557,16560,AcadAmie Solomon Schechter campus primaire section anglaise,AcadAmie Solomon Schechter campus prAscolaire section franAaise,0.8571428571428572,0.9050751337499149,0.3499394620768628,0.36363636363636365,5555 ch de la cAte saint luc montrAal h3x2c9,4950 av macdonald montrAal h3x2v3,0,0.07692307692307687,0.0,0,0.13791910507831243,0,0,1,1,1
16557,16559,AcadAmie Solomon Schechter campus primaire section anglaise,AcadAmie Solomon Schechter campus prAscolaire section anglaise,0.9193548387096774,0.9534625892455924,0.3499394620768628,0.36363636363636365,5555 ch de la cAte saint luc montrAal h3x2c9,4950 av macdonald montrAal h3x2v3,0,0.07692307692307687,0.0,0,0.13799469479928375,0,0,1,1,1
