OBJECTID,DT_MAJ_GDUNO,CD_IMM,CD_CS,NUM_IMM_CS,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,PRESC,PRIM,SEC,FORM_PRO,ADULTE,STAT_PROP_IMM,COORD_X_LL84,COORD_Y_LL84,ORDRE_ENS,TYPE_CS,STYLE_CART,ISCED020,ISCED1,ISCED2,ISCED3,ISCED4+
1983,20201019,888013,888000,13,Dorset,"106, rue Dorset",,66112,Baie-D'Urfé,V,H9X2Z6,1,1,0,0,0,Propriété de la CS,-73.920035,45.413749,Préscolaire - Primaire,Anglo,1_Imm_Anglo_primaire,1,1,0,0,0
1984,20201019,888014,888000,14,Kingsdale Academy,"4381, rue King",,66023,Montréal,V,H9H2E8,1,1,0,0,0,Propriété de la CS,-73.852688,45.480787,Préscolaire - Primaire,Anglo,1_Imm_Anglo_primaire,1,1,0,0,0
1985,20201019,888019,888000,19,International Language Centre - John Killingbeck,"150, avenue Seigniory",,66097,Pointe-Claire,V,H9R4R5,0,0,0,1,0,Propriété de la CS,-73.830336,45.451986,Formation professionnelle,Anglo,4_Imm_Anglo_Fp_Adulte,0,0,0,0,1
1986,20201019,888021,888000,21,Saint John Fisher Junior,"87, avenue Belmont",,66097,Pointe-Claire,V,H9R2N7,1,1,0,0,0,Propriété de la CS,-73.795059,45.454512,Préscolaire - Primaire,Anglo,1_Imm_Anglo_primaire,1,1,0,0,0
1987,20201019,888022,888000,22,Sherbrooke Academy Senior,"313, chemin Windermere",,66107,Beaconsfield,V,H9W1W1,0,1,0,0,0,Propriété de la CS,-73.87237,45.437496,Primaire,Anglo,1_Imm_Anglo_primaire,0,1,0,0,0
1988,20201019,888023,888000,23,Christmas Park,"422, boulevard Beaconsfield",,66107,Beaconsfield,V,H9W4B7,1,1,0,0,0,Propriété de la CS,-73.876878,45.419565,Préscolaire - Primaire,Anglo,1_Imm_Anglo_primaire,1,1,0,0,0
1989,20201019,888024,888000,24,Westwood High Senior Campus,"69, côte Saint-Charles",,71100,Hudson,V,J0P1H0,0,0,1,1,1,Propriété de la CS,-74.152054,45.46141,Secondaire - Formation professionnelle - Éducation aux adultes,Anglo,3_Imm_Anglo_secondaire,0,0,1,1,1
1990,20201019,888025,888000,25,Beaconsfield High,"250, promenade Beaurepaire",,66107,Beaconsfield,V,H9W5G7,0,0,1,1,1,Propriété de la CS,-73.861898,45.429976,Secondaire - Formation professionnelle - Éducation aux adultes,Anglo,3_Imm_Anglo_secondaire,0,0,1,1,1
1991,20201019,763070,763000,70,John-F.-Kennedy,"215, avenue Elm",,66107,Beaconsfield,V,H9W2E2,1,1,1,0,0,Propriété de la CS,-73.859216,45.4332,Préscolaire - Primaire - Secondaire,Franco,2_Imm_Franco_prim_sec,1,1,1,1,0
1992,20201019,888016,888000,16,Horizon High School,"90, Carré Jubilée",,66097,Pointe-Claire,V,H9R1M3,0,0,1,0,0,Propriété de la CS,-73.804175,45.464062,Secondaire,Anglo,3_Imm_Anglo_secondaire,0,0,1,1,0
1993,20201019,888018,888000,18,Springdale,"150, promenade Hyman",,66142,Dollard-Des Ormeaux,V,H9B1L6,1,1,0,0,0,Propriété de la CS,-73.796517,45.49358,Préscolaire - Primaire,Anglo,1_Imm_Anglo_primaire,1,1,0,0,0
2157,20201019,732039,732000,39,Saint-Fidèle,"334, 12e Rue",,23027,Québec,V,G1L2L5,1,1,0,0,0,Propriété de la CS,-71.229919,46.828002,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
