OBJECTID;DT_MAJ_GDUNO;CD_ORGNS;NOM_COURT;NOM_OFFCL;ADRS_GEO_L1_GDUNO;ADRS_GEO_L2_GDUNO;CD_MUNCP;NOM_MUNCP;STAT_MUNCP;CD_POSTL_GDUNO;PRESC;PRIM;SEC;FORM_PRO;ADULTE;TYPE_ORGNS;RESEAU;SITE_WEB;CD_ORGNS_RESP;NOM_ORGNS_RESP;COORD_X_LL84;COORD_Y_LL84;ORDRE_ENS;STYLE_CART
25;20201019;015501;Académie Kuper, primaire;Académie Kuper, primaire;2, rue Aesop;;66102;Kirkland;V;H9H5G5;0;1;0;0;0;Installation;Privé;www.kuperacademy.ca;015500;Académie Kuper;-73.838803;45.453178;Primaire;2_Priv_Bat_Prim
26;20201019;015502;Académie Kuper, préscolaire et primaire;Académie Kuper, préscolaire et primaire;4, rue Aesop;;66102;Kirkland;V;H9H5G5;1;1;0;0;0;Installation;Privé;www.kuperacademy.ca;015500;Académie Kuper;-73.839193;45.453149;Préscolaire - Primaire;4_Priv_Bat_Presc_Prim
27;20201019;015503;Académie Kuper, secondaire;Académie Kuper, secondaire;2975, rue Edmond;;66102;Kirkland;V;H9H5K5;0;0;1;0;0;Installation;Privé;www.kuperacademy.ca;015500;Académie Kuper;-73.839163;45.452474;Secondaire;3_Priv_Bat_Secondaire
30;20201019;016501;Académie Lafontaine;Académie Lafontaine inc.;2171, boulevard Maurice;;75017;Saint-Jérôme;V;J7Y4M7;1;1;1;0;0;Installation;Privé;www.academielafontaine.qc.ca;016500;Académie Lafontaine inc.;-74.007077;45.803262;Préscolaire - Primaire - Secondaire;5_Priv_Bat_Presc_Prim_Sec
33;20201019;017501;Collège Laurentien;Collège Laurentien;1200, 14e Avenue;;78005;Val-Morin;M;J0T2R0;0;1;1;0;0;Installation;Privé;www.academielaurentienne.ca;017500;Collège Laurentien;-74.196636;46.014746;Primaire - Secondaire;7_Priv_Bat_Prim_Sec
37;20201019;019501;Académie Louis-Pasteur;Académie Louis-Pasteur;7220, rue Marie-Victorin;;66023;Montréal;V;H1G2J5;1;1;0;0;0;Installation;Privé;www.academielouispasteur.com;019500;Académie Louis-Pasteur;-73.602362;45.61726;Préscolaire - Primaire;4_Priv_Bat_Presc_Prim
109;20201019;053501;C. psycho-pédago. Qc (École St-François);Centre psycho-pédagogique de Québec inc. (École St-François);1000, rue du Joli-Bois;;23027;Québec;V;G1V3Z6;0;1;1;0;0;Installation;Privé;www.cppq.qc.ca;053500;Centre psycho-pédagogique de Québec inc.;-71.289556;46.774932;Primaire - Secondaire;7_Priv_Bat_Prim_Sec
111;20201019;056501;Collège Beaubois;Collège Beaubois;4901, rue du Collège-Beaubois;;66023;Montréal;V;H8Y3T4;1;1;1;0;0;Installation;Privé;www.collegebeaubois.qc.ca/;056500;Collège Beaubois;-73.779589;45.507751;Préscolaire - Primaire - Secondaire;5_Priv_Bat_Presc_Prim_Sec
113;20201019;057501;Collège Bourget;Collège Bourget;65, rue Saint-Pierre;;71133;Rigaud;V;J0P1P0;1;1;1;0;0;Installation;Privé;www.collegebourget.qc.ca;057500;Collège Bourget;-74.30891;45.472717;Préscolaire - Primaire - Secondaire;5_Priv_Bat_Presc_Prim_Sec
114;20201019;057502;Collège Bourget, section anglaise;Collège Bourget, section anglaise;65, rue Saint-Pierre;;71133;Rigaud;V;J0P1P0;0;0;1;0;0;Installation;Privé;;057500;Collège Bourget;-74.30891;45.472717;Secondaire;3_Priv_Bat_Secondaire
